issue_id,measure,guid
E-11,CMS135FHIRACEIorARBorARNIforHF,ec508dbb-76f6-4878-b8a2-114ea8e82297
E-11,CMS135FHIRACEIorARBorARNIforHF,cba5a449-1c45-4e11-ae0b-ba3974b410f7
E-11,CMS135FHIRACEIorARBorARNIforHF,c095195c-8893-4bf1-aa7d-ad2bfd9bafa5
E-11,CMS165FHIRControllingHighBP,45e01fed-56bb-483d-a860-af3d566bda11
E-11,testE11MedicationReference,62577993-8c88-440d-ba30-d4a0a72990f9
E-12,CMS108FHIRVTEProphylaxis,182103c1-0a38-4d85-819c-148e4e105716
E-12,CMS108FHIRVTEProphylaxis,2eff6dbd-f3a2-43ee-9ad3-aab4d3b84812
E-12,CMS108FHIRVTEProphylaxis,3c854f27-5103-4367-bdef-97c3cde1edb8
E-12,CMS108FHIRVTEProphylaxis,525e73f2-77be-49b1-920f-6fc31ef38d22
E-12,CMS108FHIRVTEProphylaxis,5f739500-ee12-4662-8980-ef95d8fa74c8
E-12,CMS108FHIRVTEProphylaxis,91ff5f1a-cfdb-472d-b8c3-144f499d1ccc
E-12,CMS108FHIRVTEProphylaxis,d205878e-b861-43a8-92e8-47f680987e4d
E-12,CMS108FHIRVTEProphylaxis,ff814452-be6d-4e4b-905b-c1ae2a551645
E-15,testE15ConditionUnionPrevalence,8c3fcda1-9ed7-4725-8a66-2cdcd5f959c4
E-15,testE15Passing,124b25e9-4d11-4d0f-8077-da4df6ab9786
E-16,CMS347FHIRStatinPreventionTxCVD,1ba7b147-b701-424c-bade-4e8270547030
E-16,CMS1154ScreeningPrediabetesFHIR,bc9c82ca-72b5-41c4-a9a3-7e3860a9ac2d
E-17,CMS108FHIRVTEProphylaxis,33d162ce-3bc7-4b0a-8c04-fec0a42a6263
E-17,CMS108FHIRVTEProphylaxis,3db5c5a1-2eec-4e01-8e59-ac389a0a2179
E-17,CMS108FHIRVTEProphylaxis,41f2785f-4c4f-4497-a46b-e17fd8b5ee3f
E-17,CMS108FHIRVTEProphylaxis,5741c41a-04ec-4967-83b2-b0d746bd0ed5
E-17,CMS108FHIRVTEProphylaxis,8bb999a1-696a-497b-a5f4-aa55e146a16e
E-17,CMS108FHIRVTEProphylaxis,d9b7ffa9-ed78-484c-8880-b4cbf2b4b6a1
E-17,CMS108FHIRVTEProphylaxis,dc0dcb01-87f0-4e65-9c36-8cf6174abef1
E-17,CMS108FHIRVTEProphylaxis,dd5a1e46-1b99-45a3-b4d3-1fde205d8a11
E-12,CMS190FHIRVTEProphylaxisICU,282ae3a0-a4fd-4fed-8ce9-bff3840c7ca9
E-12,CMS190FHIRVTEProphylaxisICU,2bcbe960-db7d-4088-a574-d771baf0f9c7
E-12,CMS190FHIRVTEProphylaxisICU,4724cb2f-b5bd-4c50-85cc-4a5ba25f04ca
E-12,CMS190FHIRVTEProphylaxisICU,8ec9cf6a-2dcd-4c2e-9e2e-1ba237b66808
E-12,CMS190FHIRVTEProphylaxisICU,98d6da30-f55a-411d-94b4-359b204bcb5a
E-12,CMS190FHIRVTEProphylaxisICU,a30e5588-0e2a-487c-b4d3-15d9e0006741
E-17,CMS190FHIRVTEProphylaxisICU,a82cd0c1-900e-4ab3-a498-840ac1608486
E-12,CMS190FHIRVTEProphylaxisICU,dbfc823e-0e2f-409d-a409-2d9399db1118
E-17,CMS190FHIRVTEProphylaxisICU,f035a977-30d0-487c-b542-a596e718420c
E-12,CMS190FHIRVTEProphylaxisICU,f981eba4-4aac-45ce-8c52-f0bc02c9a0dc
E-18,testE18DateTimeCompare,ca78c4ac-c681-44ac-b6fc-3a981edd3e63
